"edition","m201903","m201904","m201905","m201906","m201907","m201908","m201909","m201910","m201911","m201912","m202001","m202002","m202003","m202004","m202005","m202006","m202007","m202008","m202009","m202010","m202011","m202012","m202101","m202102","m202103","m202104","m202105","m202106","m202107","m202108","m202109","m202110","m202111","m202112","m202201","m202202","m202203","m202204","m202205","m202206","m202207","m202208","m202209","m202210","m202211","m202212","m202301","m202302","m202303","m202304","m202305","m202306","m202307","m202308","m202309","m202310","m202311","m202312","m202401","m202402","m202403","m202404","m202405","m202406","m202407","m202408","m202409","m202410","m202411","m202412","m202501","m202502","m202503","m202504","m202505","m202506","m202507","m202508","m202509","m202510","m202511","m202512"
"(V.7, N.12, P.2, 2024)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","14","5","7","9","11","14","8","15","25","24","9","0","0"
"(V.8, N.2, P.1, 2025)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","32","6","3","3","4","4","3","2","2","0","0"
"(V.8, N.2, P.3, 2025)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","33","6","4","3","0","1","2","2","1","0","0"
"(V.8, N.2, P.4, 2025)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","24","3","0","6","9","6","1","6","3","0","0"
"(V.8, N.3, P.4, 2025)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","24","47","3","0","5","0","2","1","0","0"
"(V.8, N.4, P.1, 2025)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","20","5","1","5","0","1","0","0","0"
"(V.8, N.4, P.2, 2025)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","124","1","0","0","0","0","0","0","0"
"(V.8, N.4, P.3, 2025)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","11","2","0","0","1","0","0","0"
"(V.8, N.4, P.4, 2025)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","41","28","52","34","34","39","31","0","0"
"(V.8, N.5, P.3, 2025)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","56","36","37","89","71","33","0","0"
