"edition","m201903","m201904","m201905","m201906","m201907","m201908","m201909","m201910","m201911","m201912","m202001","m202002","m202003","m202004","m202005","m202006","m202007","m202008","m202009","m202010","m202011","m202012","m202101","m202102","m202103","m202104","m202105","m202106","m202107","m202108","m202109","m202110","m202111","m202112","m202201","m202202","m202203","m202204","m202205","m202206","m202207","m202208","m202209","m202210","m202211","m202212","m202301","m202302","m202303","m202304","m202305","m202306","m202307","m202308","m202309","m202310","m202311","m202312","m202401","m202402","m202403","m202404","m202405","m202406","m202407","m202408","m202409","m202410","m202411","m202412","m202501","m202502","m202503","m202504","m202505","m202506","m202507","m202508","m202509","m202510","m202511","m202512"
"(V.6, N.9, P.2, 2023)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","3","0","3","0","30","26","15","1","8","12","9","0","2","3","6","5","6","4","3","0","2","3","2","1","0","0"
"(V.6, N.9, P.3, 2023)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","15","10","6","5","5","5","4","2","5","11","5","5","3","2","6","5","3","2","0","1","0","1","0","0","1","0","0"
"(V.6, N.9, P.4, 2023)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","11","6","3","3","3","3","1","2","3","2","2","20","3","2","0","2","1","22","1","2","2","0","3","0","0","0","0"
"(V.6, N.10, P.1, 2023)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","14","10","9","7","10","2","13","14","23","13","9","9","9","6","6","4","1","1","2","3","2","2","0","1","0","0"
"(V.6, N.10, P.2, 2023)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","11","6","15","1","5","1","1","0","0","0","2","0","0","0","0","0","0","1","0","0","0","1","0","1","0","0"
"(V.6, N.10, P.3, 2023)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","11","13","6","4","2","2","2","2","3","2","2","2","1","2","5","5","1","1","3","3","11","4","4","1","0","0"
"(V.6, N.10, P.4, 2023)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","50","58","13","6","10","10","10","16","13","17","9","3","4","6","19","12","6","7","2","2","3","4","6","1","0","0"
"(V.6, N.10, P.5, 2023)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","12","9","7","6","9","9","12","8","20","14","30","18","21","9","8","22","24","13","22","10","15","13","18","11","0","0"
"(V.6, N.11, P.1, 2023)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","41","5","6","11","3","4","8","1","2","5","4","8","28","17","16","16","15","15","22","28","22","21","22","11","0","0"
"(V.6, N.11, P.3, 2023)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","52","62","261","284","266","273","290","291","291","271","214","225","251","219","261","192","144","156","151","124","121","88","123","47","0","0"
"(V.6, N.11, P.4, 2023)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","48","25","15","15","6","19","8","9","8","6","8","3","8","4","4","3","2","4","0","2","0","3","0","1","0","0"
"(V.6, N.12, P.1, 2023)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","118","19","22","40","31","36","52","45","50","56","58","74","40","38","26","31","46","43","54","43","54","51","18","0","0"
"(V.6, N.12, P.4, 2023)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","22","21","15","21","32","37","54","34","83","67","72","80","49","37","66","63","57","44","64","44","30","45","16","0","0"
"(V.7, N.1, P.1, 2024)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","43","19","9","8","5","7","13","4","3","4","2","4","0","8","5","4","9","4","2","1","6","7","0","0"
"(V.7, N.1, P.5, 2024)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","61","49","36","69","35","70","24","40","33","22","20","20","13","19","36","15","19","13","13","23","14","8","0","0"
"(V.7, N.2, P.1, 2024)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","107","1","3","3","0","1","0","2","3","1","1","3","1","2","2","0","2","1","3","2","1","0","0"
"(V.7, N.4, P.1, 2024)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","30","5","11","7","4","6","7","5","2","1","1","2","1","2","2","0","0","2","1","0","0"
"(V.7, N.4, P.2, 2024)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","19","3","3","1","2","9","7","0","1","1","4","10","8","2","4","2","2","3","5","0","0"
"(V.7, N.5, P.1, 2024)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","17","3","2","6","6","13","3","1","1","3","2","1","2","1","2","2","2","0","0","0"
"(V.7, N.5, P.2, 2024)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","53","24","38","50","49","56","48","65","35","45","52","42","60","31","32","44","33","15","0","0"
"(V.7, N.5, P.3, 2024)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","3","1","0","1","0","0","0","1","0","0","0","0","0","0","0","1","0","0","0"
"(V.7, N.6, P.2, 2024)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","30","2","6","17","8","15","8","9","10","10","3","4","4","3","7","4","5","0","0"
"(V.7, N.7, P.1, 2024)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","186","5","2","4","6","0","1","0","2","0","1","1","0","0","1","0","0","0"
"(V.7, N.7, P.2, 2024)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","44","1","1","0","0","0","0","1","1","0","0","1","0","0","0","1","0","0"
"(V.7, N.7, P.4, 2024)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","57","29","3","5","1","0","0","4","3","5","1","4","6","5","3","1","0","0"
"(V.7, N.7, P.5, 2024)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","7","3","3","5","0","8","1","1","1","1","2","1","2","0","0","0"
"(V.7, N.9, P.2, 2024)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","31","5","1","1","0","1","0","2","0","1","1","2","0","2","0","0"
"(V.7, N.9, P.4, 2024)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","30","8","2","0","4","1","4","3","8","1","2","0","3","2","0","0"
"(V.7, N.9, P.5, 2024)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","8","29","10","12","8","38","16","5","5","7","9","4","9","4","0","0"
"(V.7, N.10, P.3, 2024)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","25","12","3","1","0","4","1","0","0","0","2","0","1","0","0"
"(V.7, N.10, P.4, 2024)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","89","16","5","1","2","1","0","2","1","0","2","2","0","0","0"
"(V.7, N.11, P.3, 2024)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","90","8","1","2","3","0","0","1","0","0","1","0","0","0"
"(V.7, N.12, P.3, 2024)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","77","3","2","1","1","1","0","2","1","2","9","0","0"
"(V.7, N.12, P.4, 2024)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","22","4","21","20","27","27","15","20","12","37","16","0","0"
"(V.7, N.12, P.5, 2024)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","17","8","0","0","0","0","0","0","0","0","0","0","0"
"(V.8, N.1, P.1, 2025)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","6","6","1","1","0","1","1","1","0","0","0","0"
"(V.8, N.1, P.2, 2025)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","42","6","3","0","2","2","0","0","1","0","0","0"
"(V.8, N.1, P.3, 2025)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","20","7","23","8","27","51","83","298","83","24","0","0"
"(V.8, N.1, P.4, 2025)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","6","9","3","0","4","1","0","3","1","0","0","0"
"(V.8, N.2, P.2, 2025)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","36","5","11","3","1","0","0","0","0","0","0"
"(V.8, N.3, P.1, 2025)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","27","24","7","6","7","10","6","2","0","0"
"(V.8, N.3, P.2, 2025)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","80","12","5","6","6","9","12","7","0","0"
"(V.8, N.3, P.2, 2025)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","80","12","5","6","6","9","12","7","0","0"
"(V.8, N.3, P.3, 2025)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","1","0","0","0","0"
"(V.8, N.5, P.1, 2025)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","52","17","3","11","11","14","0","0"
"(V.8, N.5, P.2, 2025)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","22","1","0","2","0","0","0","0"
"(V.8, N.5, P.4, 2025)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","27","8","4","10","5","7","0","0"
"(V.8, N.6, P.3, 2025)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","22","14","5","13","11","0","0"
"(V.8, N.7, P.1, 2025)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","41","1","0","10","0","0"
"(V.8, N.7, P.2, 2025)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","102","5","4","7","0","0"
"(V.8, N.8, P.1, 2025)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","52","15","1","0","0"
"(V.8, N.8, P.3, 2025)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","16","1","3","0","0"
"(V.8, N.8, P.4, 2025)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","17","2","1","0","0"
"(V.8, N.9, P.1, 2025)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","23","2","0","0"
"(V.8, N.9, P.3, 2025)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","11","2","0","0"
"(V.8, N.9, P.5, 2025)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","14","1","0","0"
"(V.8, N.10, P.2, 2025)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","22","0","0"
"(V.1, N.1, P.1, 2018)","193","48","16","6","1","9","15","7","18","25","12","36","27","13","12","4","6","2","9","7","1","3","2","0","4","1","1","3","9","4","1","3","1","2","6","3","3","4","3","2","0","2","3","3","0","2","1","0","0","0","0","1","2","5","0","2","3","1","1","2","0","0","0","0","4","0","0","0","0","0","1","0","0","0","0","0","0","1","1","0","0","0"
"(V.1, N.1, P.2, 2018)","58","13","10","11","1","10","7","8","38","18","13","22","2","27","9","26","13","5","9","7","3","2","4","6","12","19","5","17","11","15","2","6","8","2","6","3","11","3","3","0","5","3","9","10","5","0","5","8","2","5","6","5","1","7","6","8","3","8","3","2","0","3","2","0","5","3","1","1","1","2","0","2","2","2","2","4","1","4","2","2","0","0"
"(V.1, N.1, P.3, 2018)","271","41","47","40","31","37","43","46","59","44","55","49","45","38","42","25","10","20","9","9","14","9","9","18","23","27","20","11","1","1","2","4","12","7","10","2","5","4","7","7","1","0","71","2","1","0","3","0","0","1","0","1","0","1","0","0","2","0","0","1","0","0","1","0","2","0","0","3","1","0","0","0","1","0","0","0","0","0","0","0","0","0"
"(V.1, N.2, P.3, 2018)","233","48","60","44","49","46","52","66","68","41","55","65","54","65","89","104","113","108","12","24","34","108","55","88","183","227","125","255","83","60","57","82","149","81","41","36","148","77","113","123","64","80","91","85","112","61","25","47","37","56","88","75","33","74","55","39","52","26","15","16","32","27","25","9","10","17","13","12","27","9","5","8","4","7","18","13","7","4","2","10","0","0"
"(V.1, N.2, P.7, 2018)","240","36","35","26","77","64","44","88","70","75","59","66","52","40","63","52","33","16","15","36","15","31","16","20","104","169","120","28","8","5","20","9","18","4","7","10","17","16","163","10","7","13","10","5","17","4","3","10","4","9","6","14","8","23","32","22","9","1","2","3","2","7","8","2","4","1","3","3","4","2","0","5","5","1","0","0","0","0","0","0","0","0"
"(V.1, N.2, P.8, 2018)","199","43","45","35","50","57","123","88","88","73","65","88","59","78","60","52","30","24","12","17","8","14","12","15","31","42","17","23","16","21","3","3","11","11","15","15","9","14","9","26","9","26","41","81","19","15","34","13","11","21","19","15","10","29","22","14","11","10","11","13","6","8","5","4","8","6","4","9","1","1","1","2","4","2","1","3","2","4","1","0","0","0"
"(V.1, N.2, P.9, 2018)","78","7","10","10","9","2","35","12","21","7","11","29","14","21","11","14","9","12","11","13","6","2","6","2","4","5","2","6","4","5","2","3","2","3","0","0","3","2","3","2","0","2","4","5","6","8","1","4","2","2","5","9","5","5","10","7","7","4","3","2","4","4","11","9","11","4","5","2","5","0","1","2","4","6","8","5","2","3","5","1","0","0"
"(V.1, N.3, P.1, 2018)","157","13","14","12","7","20","23","26","30","25","28","37","33","11","10","9","4","16","11","6","5","18","16","17","39","30","30","6","1","3","0","2","7","7","3","9","8","3","2","3","0","6","4","1","6","2","3","3","1","0","0","2","0","6","3","4","1","1","6","0","0","0","0","1","4","3","0","1","0","1","1","1","2","1","0","0","0","1","0","0","0","0"
"(V.1, N.3, P.2, 2018)","225","41","42","87","49","108","121","123","157","87","81","77","83","65","95","39","10","7","13","10","22","64","16","39","126","184","160","165","57","50","0","48","43","20","13","37","56","65","83","64","22","41","19","46","81","23","15","29","36","99","108","68","26","81","80","52","54","23","5","23","38","57","42","31","19","12","18","15","13","8","3","8","13","8","5","5","1","3","2","3","0","0"
"(V.1, N.3, P.4, 2018)","81","17","9","9","10","12","15","37","28","19","21","30","14","10","13","6","7","9","8","8","7","4","6","5","11","10","3","10","1","3","4","7","1","2","2","1","2","1","3","2","4","5","2","3","0","1","0","0","6","1","2","2","1","2","4","5","10","5","7","4","0","0","0","0","3","1","0","0","3","3","0","1","3","0","1","1","0","0","0","2","0","0"
"(V.1, N.3, P.5, 2018)","229","22","47","49","35","30","43","41","36","106","34","20","27","41","19","20","23","15","30","17","10","7","3","3","3","2","5","8","14","7","2","1","1","3","6","1","0","1","2","3","5","4","8","8","0","1","1","0","0","1","0","2","0","0","0","2","0","0","0","1","1","0","0","0","3","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0"
"(V.1, N.3, P.8, 2018)","89","28","15","17","11","12","44","39","49","33","37","33","28","12","21","25","16","12","15","19","2","6","5","5","13","7","7","16","5","3","4","11","11","5","9","5","4","10","15","7","8","19","9","8","7","3","5","2","4","0","8","10","5","6","4","6","4","3","0","2","7","3","1","1","4","6","3","4","1","3","2","2","1","0","2","1","2","2","0","1","0","0"
"(V.1, N.3, P.11, 2018)","134","28","36","56","43","96","95","97","100","68","70","59","70","63","95","69","66","83","13","20","37","77","31","58","78","119","68","72","29","22","6","37","67","41","15","31","146","38","48","86","157","41","29","35","74","23","12","18","35","252","57","23","43","41","59","32","43","20","11","20","21","16","38","18","8","10","16","14","10","10","6","8","14","9","9","3","4","3","11","3","0","0"
"(V.1, N.4, P.1, 2018)","208","29","21","17","15","17","11","13","26","18","13","27","13","11","17","8","3","2","15","5","3","8","1","1","5","4","5","1","1","1","0","0","1","0","0","0","1","1","0","0","1","0","1","2","1","0","0","1","0","2","1","0","3","4","1","3","0","2","1","3","2","1","1","1","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"(V.1, N.4, P.2, 2018)","63","31","18","13","14","22","31","38","36","27","39","28","15","24","28","33","60","52","12","22","5","16","31","35","58","74","49","62","16","7","9","10","32","12","17","20","31","31","40","36","33","50","28","36","45","32","27","32","16","1","30","39","44","34","63","62","63","35","25","29","28","23","41","39","29","30","30","28","21","10","7","17","10","8","8","5","8","5","3","4","0","0"
"(V.1, N.4, P.4, 2018)","233","58","73","95","82","55","55","87","89","50","54","88","74","49","61","37","21","34","20","24","6","7","6","6","7","11","6","12","7","6","4","4","13","10","9","8","5","9","8","11","6","10","9","11","5","2","6","3","2","2","5","2","1","2","6","5","1","2","5","3","6","2","1","1","4","0","4","1","0","2","0","1","2","3","0","2","1","3","1","0","0","0"
"(V.1, N.4, P.5, 2018)","72","10","11","17","9","5","23","51","59","16","12","86","14","21","17","9","2","11","11","19","3","10","2","2","5","9","1","4","4","5","42","7","6","4","1","1","5","6","7","4","1","8","4","5","3","4","5","6","2","5","5","5","1","6","7","12","6","0","1","0","2","0","3","0","2","2","3","1","2","2","3","2","3","2","3","2","2","1","1","2","0","0"
