post,201903,201904,201905,201906,201907,201908,201909,201910,201911,201912,202001,202002,202003,202004,202005,202006,202007,202008,202009,202010,202011,202012,202101,202102,202103,202104,202105,202106,202107,202108,202109,202110,202111,202112,202201,202202,202203,202204,202205,202206,202207,202208,202209,202210,202211,202212,202301,202302,202303,202304,202305,202306,202307,202308,202309,202310,total
"(V.1, N.6, P.2, 2018)",151,34,45,33,57,74,87,163,130,128,91,166,126,90,122,119,97,118,25,24,17,65,76,74,99,94,42,120,91,44,25,33,41,37,38,39,41,64,73,195,31,112,35,15,31,32,51,41,26,51,20,33,23,44,31,23,3787
"(V.1, N.6, P.3, 2018)",156,30,22,29,37,49,48,65,75,33,38,58,133,66,36,13,7,17,6,9,2,7,5,14,12,17,0,4,1,2,0,1,2,1,2,3,1,3,4,5,3,4,5,4,2,2,2,7,4,1,4,2,6,1,16,5,1081
"(V.1, N.6, P.4, 2018)",147,29,27,39,29,46,38,83,85,56,54,49,42,53,43,31,27,13,9,23,5,28,31,39,24,50,7,14,7,6,2,6,6,3,7,5,7,1,3,1,3,4,3,3,1,6,8,5,2,10,4,2,10,6,4,2,1248
"(V.1, N.6, P.5, 2018)",654,84,178,93,143,168,146,191,182,138,96,99,85,146,117,112,90,91,47,79,29,34,36,17,44,52,47,53,81,17,20,33,31,52,32,40,185,154,51,32,34,37,25,22,20,26,25,12,20,19,14,21,18,16,13,12,4313
"(V.1, N.7, P.1, 2018)",78,25,40,12,19,23,16,98,38,20,25,39,30,20,24,17,26,19,11,6,8,44,42,45,60,51,79,48,36,20,39,57,45,28,35,49,51,21,48,52,39,42,52,46,33,42,32,31,16,26,36,24,21,29,21,26,1960
"(V.1, N.7, P.2, 2018)",87,10,6,7,3,15,20,31,36,130,35,32,21,9,14,6,15,12,15,3,17,116,5,2,1,3,0,1,1,1,1,2,25,71,11,7,7,8,12,1,2,4,8,3,15,56,7,1,0,2,1,1,2,2,4,4,911
"(V.1, N.7, P.3, 2018)",98,18,11,15,8,28,36,65,42,32,36,85,44,28,42,45,56,42,9,23,2,18,17,9,19,16,9,20,51,6,4,15,5,13,22,8,9,26,7,13,6,14,15,8,8,5,9,12,1,56,6,4,8,13,6,3,1226
"(V.1, N.7, P.4, 2018)",59,14,13,17,15,17,28,104,209,65,28,72,71,48,64,78,24,43,10,8,29,40,32,61,84,81,25,24,13,11,8,15,20,16,9,65,61,43,35,12,13,35,74,60,30,14,9,68,41,56,39,14,27,28,23,6,2208
"(V.2, N.1, P.1, 2019)",62,35,41,51,37,40,46,93,90,54,46,43,44,38,52,44,47,39,12,14,8,22,22,28,38,32,15,43,31,14,12,44,40,14,26,17,17,14,14,14,28,42,45,43,26,29,0,52,14,42,59,56,35,47,42,45,1998
"(V.2, N.1, P.2, 2019)",56,33,23,28,19,23,34,76,106,36,24,68,54,31,47,24,25,60,10,11,5,10,20,30,69,56,13,22,6,8,7,4,5,5,10,14,14,7,24,7,5,12,11,12,13,4,12,27,25,20,23,5,8,23,21,20,1365
